InstrumentName,Date,Yield
US_TREASURY_5_YR,2021-01-04,0.36
US_TREASURY_5_YR,2021-01-05,0.38
US_TREASURY_5_YR,2021-01-06,0.43
US_TREASURY_5_YR,2021-01-07,0.46
US_TREASURY_5_YR,2021-01-08,0.49
US_TREASURY_5_YR,2021-01-11,0.5
US_TREASURY_5_YR,2021-01-12,0.5
US_TREASURY_5_YR,2021-01-13,0.48
US_TREASURY_5_YR,2021-01-14,0.49
US_TREASURY_5_YR,2021-01-15,0.46
US_TREASURY_5_YR,2021-01-19,0.45
US_TREASURY_5_YR,2021-01-20,0.45
US_TREASURY_5_YR,2021-01-21,0.45
US_TREASURY_5_YR,2021-01-22,0.44
US_TREASURY_5_YR,2021-01-25,0.42
US_TREASURY_5_YR,2021-01-26,0.42
US_TREASURY_5_YR,2021-01-27,0.41
US_TREASURY_5_YR,2021-01-28,0.42
US_TREASURY_5_YR,2021-01-29,0.45
US_TREASURY_5_YR,2021-02-01,0.42
US_TREASURY_5_YR,2021-02-02,0.45
US_TREASURY_5_YR,2021-02-03,0.46
US_TREASURY_5_YR,2021-02-04,0.46
US_TREASURY_5_YR,2021-02-05,0.47
US_TREASURY_5_YR,2021-02-08,0.48
US_TREASURY_5_YR,2021-02-09,0.48
US_TREASURY_5_YR,2021-02-10,0.46
US_TREASURY_5_YR,2021-02-11,0.46
US_TREASURY_5_YR,2021-02-12,0.5
US_TREASURY_5_YR,2021-02-16,0.57
US_TREASURY_5_YR,2021-02-17,0.57
US_TREASURY_5_YR,2021-02-18,0.56
US_TREASURY_5_YR,2021-02-19,0.59
US_TREASURY_5_YR,2021-02-22,0.61
US_TREASURY_5_YR,2021-02-23,0.59
US_TREASURY_5_YR,2021-02-24,0.62
US_TREASURY_5_YR,2021-02-25,0.81
US_TREASURY_5_YR,2021-02-26,0.75
US_TREASURY_5_YR,2021-03-01,0.71
US_TREASURY_5_YR,2021-03-02,0.67
US_TREASURY_5_YR,2021-03-03,0.73
US_TREASURY_5_YR,2021-03-04,0.77
US_TREASURY_5_YR,2021-03-05,0.79
US_TREASURY_5_YR,2021-03-08,0.86
US_TREASURY_5_YR,2021-03-09,0.83
US_TREASURY_5_YR,2021-03-10,0.8
US_TREASURY_5_YR,2021-03-11,0.78
US_TREASURY_5_YR,2021-03-12,0.85
US_TREASURY_5_YR,2021-03-15,0.84
US_TREASURY_5_YR,2021-03-16,0.83
US_TREASURY_5_YR,2021-03-17,0.8
US_TREASURY_5_YR,2021-03-18,0.86
US_TREASURY_5_YR,2021-03-19,0.9
US_TREASURY_5_YR,2021-03-22,0.87
US_TREASURY_5_YR,2021-03-23,0.83
US_TREASURY_5_YR,2021-03-24,0.83
US_TREASURY_5_YR,2021-03-25,0.82
US_TREASURY_5_YR,2021-03-26,0.85
US_TREASURY_5_YR,2021-03-29,0.89
US_TREASURY_5_YR,2021-03-30,0.9
US_TREASURY_5_YR,2021-03-31,0.92
US_TREASURY_5_YR,2021-04-01,0.9
US_TREASURY_5_YR,2021-04-02,0.97
US_TREASURY_5_YR,2021-04-05,0.94
US_TREASURY_5_YR,2021-04-06,0.88
US_TREASURY_5_YR,2021-04-07,0.87
US_TREASURY_5_YR,2021-04-08,0.85
US_TREASURY_5_YR,2021-04-09,0.87
US_TREASURY_5_YR,2021-04-12,0.89
US_TREASURY_5_YR,2021-04-13,0.85
US_TREASURY_5_YR,2021-04-14,0.87
US_TREASURY_5_YR,2021-04-15,0.81
US_TREASURY_5_YR,2021-04-16,0.84
US_TREASURY_5_YR,2021-04-19,0.85
US_TREASURY_5_YR,2021-04-20,0.81
US_TREASURY_5_YR,2021-04-21,0.81
US_TREASURY_5_YR,2021-04-22,0.81
US_TREASURY_5_YR,2021-04-23,0.83
US_TREASURY_5_YR,2021-04-26,0.85
US_TREASURY_5_YR,2021-04-27,0.88
US_TREASURY_5_YR,2021-04-28,0.86
US_TREASURY_5_YR,2021-04-29,0.86
US_TREASURY_5_YR,2021-04-30,0.86
US_TREASURY_5_YR,2021-05-03,0.84
US_TREASURY_5_YR,2021-05-04,0.82
US_TREASURY_5_YR,2021-05-05,0.8
US_TREASURY_5_YR,2021-05-06,0.81
US_TREASURY_5_YR,2021-05-07,0.77
US_TREASURY_5_YR,2021-05-10,0.8
US_TREASURY_5_YR,2021-05-11,0.8
US_TREASURY_5_YR,2021-05-12,0.87
US_TREASURY_5_YR,2021-05-13,0.84
US_TREASURY_5_YR,2021-05-14,0.82
US_TREASURY_5_YR,2021-05-17,0.84
US_TREASURY_5_YR,2021-05-18,0.83
US_TREASURY_5_YR,2021-05-19,0.87
US_TREASURY_5_YR,2021-05-20,0.83
US_TREASURY_5_YR,2021-05-21,0.84
US_TREASURY_5_YR,2021-05-24,0.82
US_TREASURY_5_YR,2021-05-25,0.79
US_TREASURY_5_YR,2021-05-26,0.8
US_TREASURY_5_YR,2021-05-27,0.81
US_TREASURY_5_YR,2021-05-28,0.79
US_TREASURY_5_YR,2021-06-01,0.81
US_TREASURY_5_YR,2021-06-02,0.8
