Date,"1 Mo","2 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
12/30/2022,3.95,4.02,4.30,4.39,4.30,4.40,4.57,4.70,4.60,4.77,4.51,4.73
12/29/2022,3.88,3.95,4.28,4.37,4.34,4.45,4.54,4.67,4.57,4.74,4.48,4.70
12/28/2022,3.57,3.63,4.08,4.16,4.35,4.46,4.55,4.68,4.59,4.76,4.49,4.71
12/27/2022,3.62,3.68,4.09,4.17,4.35,4.46,4.49,4.62,4.60,4.77,4.52,4.75
12/23/2022,3.65,3.71,4.01,4.09,4.23,4.33,4.45,4.58,4.52,4.69,4.46,4.67
12/22/2022,3.65,3.71,4.02,4.10,4.24,4.34,4.43,4.56,4.51,4.68,4.45,4.66
12/21/2022,3.66,3.72,4.01,4.09,4.22,4.32,4.44,4.57,4.51,4.68,4.41,4.62
12/20/2022,3.69,3.75,4.02,4.10,4.25,4.36,4.40,4.53,4.55,4.72,4.44,4.65
12/19/2022,3.77,3.83,4.03,4.11,4.28,4.39,4.41,4.54,4.55,4.72,4.44,4.65
12/16/2022,3.78,3.84,4.03,4.11,4.20,4.30,4.40,4.53,4.52,4.69,4.41,4.62
12/15/2022,3.79,3.85,4.06,4.14,4.22,4.32,4.42,4.55,4.54,4.71,4.44,4.65
12/14/2022,3.73,3.79,3.93,4.01,4.23,4.34,4.45,4.58,4.52,4.69,4.44,4.65
12/13/2022,3.71,3.77,3.95,4.03,4.26,4.37,4.42,4.55,4.54,4.71,4.44,4.65
12/12/2022,3.68,3.74,3.97,4.05,4.29,4.40,4.44,4.57,4.62,4.80,4.54,4.76
12/09/2022,3.66,3.72,3.95,4.03,4.19,4.29,4.40,4.53,4.56,4.73,4.50,4.72
12/08/2022,3.61,3.67,3.94,4.02,4.17,4.27,4.39,4.52,4.55,4.72,4.49,4.71
12/07/2022,3.60,3.66,3.88,3.96,4.20,4.30,4.40,4.53,4.56,4.73,4.46,4.68
12/06/2022,3.68,3.74,3.98,4.06,4.27,4.38,4.39,4.52,4.58,4.75,4.51,4.73
12/05/2022,3.75,3.81,4.04,4.12,4.27,4.38,4.41,4.54,4.58,4.75,4.54,4.77
12/02/2022,3.75,3.81,4.06,4.14,4.22,4.32,4.38,4.51,4.50,4.67,4.47,4.69
12/01/2022,3.87,3.94,4.06,4.14,4.22,4.32,4.38,4.51,4.49,4.66,4.44,4.66
11/30/2022,3.91,3.98,4.05,4.13,4.27,4.38,4.42,4.55,4.54,4.71,4.52,4.75
11/29/2022,3.92,3.99,4.07,4.15,4.27,4.38,4.38,4.51,4.56,4.73,4.56,4.79
11/28/2022,3.96,4.03,4.09,4.17,4.30,4.41,4.40,4.53,4.57,4.74,4.55,4.77
11/25/2022,4.01,4.08,4.15,4.23,4.22,4.32,4.41,4.54,4.54,4.71,4.55,4.77
11/23/2022,3.97,4.04,4.11,4.19,4.21,4.31,4.39,4.52,4.55,4.72,4.54,4.76
11/22/2022,3.81,3.87,4.06,4.14,4.21,4.31,4.36,4.48,4.55,4.72,4.57,4.79
11/21/2022,3.82,3.88,4.04,4.12,4.23,4.33,4.35,4.47,4.53,4.70,4.54,4.76
11/18/2022,3.79,3.85,4.05,4.13,4.15,4.25,4.35,4.47,4.48,4.65,4.53,4.75
11/17/2022,3.80,3.86,4.03,4.11,4.13,4.23,4.33,4.45,4.44,4.60,4.47,4.69
11/16/2022,3.64,3.70,3.93,4.01,4.14,4.24,4.32,4.44,4.42,4.58,4.41,4.62
11/15/2022,3.62,3.68,3.88,3.96,4.14,4.24,4.28,4.40,4.41,4.57,4.40,4.61
11/14/2022,3.58,3.64,3.84,3.92,4.16,4.26,4.26,4.38,4.43,4.59,4.42,4.63
11/10/2022,3.58,3.64,3.84,3.92,4.09,4.19,4.26,4.38,4.40,4.56,4.38,4.59
11/09/2022,3.48,3.54,3.83,3.91,4.11,4.21,4.30,4.42,4.47,4.64,4.53,4.75
11/08/2022,3.51,3.57,3.82,3.90,4.10,4.20,4.27,4.39,4.48,4.65,4.55,4.78
11/07/2022,3.64,3.70,3.83,3.91,4.12,4.22,4.27,4.39,4.50,4.67,4.57,4.80
11/04/2022,3.60,3.66,3.83,3.91,4.02,4.12,4.26,4.38,4.43,4.59,4.54,4.77
11/03/2022,3.63,3.69,3.87,3.95,4.06,4.16,4.27,4.39,4.44,4.60,4.56,4.79
11/02/2022,3.53,3.59,3.82,3.90,4.04,4.14,4.28,4.40,4.45,4.62,4.53,4.76
11/01/2022,3.56,3.62,3.81,3.89,4.06,4.16,4.23,4.35,4.46,4.63,4.52,4.75
10/31/2022,3.57,3.63,3.82,3.90,4.06,4.16,4.21,4.33,4.45,4.62,4.46,4.67
10/28/2022,3.60,3.66,3.81,3.89,3.99,4.08,4.19,4.31,4.37,4.53,4.36,4.56
10/27/2022,3.61,3.67,3.81,3.89,3.95,4.04,4.17,4.29,4.30,4.46,4.31,4.51
10/26/2022,3.36,3.41,3.66,3.73,3.94,4.03,4.18,4.30,4.32,4.48,4.34,4.54
10/25/2022,3.40,3.46,3.62,3.69,3.97,4.07,4.12,4.23,4.36,4.52,4.40,4.61
10/24/2022,3.42,3.48,3.65,3.72,4.00,4.10,4.14,4.26,4.38,4.54,4.40,4.61
10/21/2022,3.42,3.48,3.64,3.71,3.90,3.99,4.13,4.25,4.29,4.44,4.38,4.59
10/20/2022,3.44,3.50,3.70,3.77,3.91,4.00,4.15,4.27,4.34,4.50,4.44,4.65
10/19/2022,3.13,3.18,3.52,3.59,3.91,4.00,4.15,4.27,4.31,4.47,4.39,4.60
10/18/2022,3.08,3.13,3.50,3.57,3.89,3.98,,,4.25,4.40,4.30,4.50
10/17/2022,3.16,3.21,3.49,3.56,3.82,3.91,,,4.25,4.40,4.29,4.49
10/14/2022,3.18,3.23,3.48,3.55,3.65,3.73,,,4.17,4.32,4.29,4.49
10/13/2022,3.23,3.28,3.48,3.55,3.64,3.72,,,4.16,4.31,4.26,4.46
10/12/2022,2.91,2.96,3.28,3.34,3.56,3.64,,,4.03,4.17,4.10,4.29
10/11/2022,2.92,2.97,3.27,3.33,3.53,3.61,,,4.05,4.19,4.09,4.28
10/07/2022,2.92,2.97,3.23,3.29,3.31,3.38,,,3.96,4.09,4.05,4.23
10/06/2022,2.94,2.99,3.23,3.29,3.32,3.39,,,3.91,4.04,4.01,4.19
10/05/2022,2.74,2.78,3.05,3.11,3.33,3.40,,,3.88,4.01,3.96,4.14
10/04/2022,2.77,2.81,3.07,3.13,3.32,3.39,,,3.87,4.00,3.98,4.16
10/03/2022,2.75,2.79,3.10,3.16,3.34,3.42,,,3.86,3.99,3.84,4.00
