InstrumentName,Date,Yield
ICE_Bofa_US_HighYield,2021-01-04,4.40
ICE_Bofa_US_HighYield,2021-01-05,4.41
ICE_Bofa_US_HighYield,2021-01-06,4.36
ICE_Bofa_US_HighYield,2021-01-07,4.36
ICE_Bofa_US_HighYield,2021-01-08,4.35
ICE_Bofa_US_HighYield,2021-01-11,4.43
ICE_Bofa_US_HighYield,2021-01-12,4.47
ICE_Bofa_US_HighYield,2021-01-13,4.41
ICE_Bofa_US_HighYield,2021-01-14,4.33
ICE_Bofa_US_HighYield,2021-01-15,4.32
ICE_Bofa_US_HighYield,2021-01-18,4.31
ICE_Bofa_US_HighYield,2021-01-19,4.28
ICE_Bofa_US_HighYield,2021-01-20,4.24
ICE_Bofa_US_HighYield,2021-01-21,4.22
ICE_Bofa_US_HighYield,2021-01-22,4.32
ICE_Bofa_US_HighYield,2021-01-25,4.29
ICE_Bofa_US_HighYield,2021-01-26,4.28
ICE_Bofa_US_HighYield,2021-01-27,4.38
ICE_Bofa_US_HighYield,2021-01-28,4.31
ICE_Bofa_US_HighYield,2021-01-29,4.35
ICE_Bofa_US_HighYield,2021-01-31,4.41
ICE_Bofa_US_HighYield,2021-02-01,4.39
ICE_Bofa_US_HighYield,2021-02-02,4.33
ICE_Bofa_US_HighYield,2021-02-03,4.27
ICE_Bofa_US_HighYield,2021-02-04,4.23
ICE_Bofa_US_HighYield,2021-02-05,4.18
ICE_Bofa_US_HighYield,2021-02-08,4.15
ICE_Bofa_US_HighYield,2021-02-09,4.12
ICE_Bofa_US_HighYield,2021-02-10,4.10
ICE_Bofa_US_HighYield,2021-02-11,4.09
ICE_Bofa_US_HighYield,2021-02-12,4.10
ICE_Bofa_US_HighYield,2021-02-15,4.08
ICE_Bofa_US_HighYield,2021-02-16,4.09
ICE_Bofa_US_HighYield,2021-02-17,4.12
ICE_Bofa_US_HighYield,2021-02-18,4.13
ICE_Bofa_US_HighYield,2021-02-19,4.12
ICE_Bofa_US_HighYield,2021-02-22,4.17
ICE_Bofa_US_HighYield,2021-02-23,4.19
ICE_Bofa_US_HighYield,2021-02-24,4.16
ICE_Bofa_US_HighYield,2021-02-25,4.30
ICE_Bofa_US_HighYield,2021-02-26,4.37
ICE_Bofa_US_HighYield,2021-02-28,4.46
ICE_Bofa_US_HighYield,2021-03-01,4.38
ICE_Bofa_US_HighYield,2021-03-02,4.34
ICE_Bofa_US_HighYield,2021-03-03,4.36
ICE_Bofa_US_HighYield,2021-03-04,4.45
ICE_Bofa_US_HighYield,2021-03-05,4.52
ICE_Bofa_US_HighYield,2021-03-08,4.53
ICE_Bofa_US_HighYield,2021-03-09,4.54
ICE_Bofa_US_HighYield,2021-03-10,4.53
ICE_Bofa_US_HighYield,2021-03-11,4.41
