InstrumentName,Date,Yield
US_TREASURY_30_YR,2021-01-04,1.66
US_TREASURY_30_YR,2021-01-05,1.7
US_TREASURY_30_YR,2021-01-06,1.81
US_TREASURY_30_YR,2021-01-07,1.85
US_TREASURY_30_YR,2021-01-08,1.87
US_TREASURY_30_YR,2021-01-11,1.88
US_TREASURY_30_YR,2021-01-12,1.88
US_TREASURY_30_YR,2021-01-13,1.82
US_TREASURY_30_YR,2021-01-14,1.88
US_TREASURY_30_YR,2021-01-15,1.85
US_TREASURY_30_YR,2021-01-19,1.84
US_TREASURY_30_YR,2021-01-20,1.84
US_TREASURY_30_YR,2021-01-21,1.87
US_TREASURY_30_YR,2021-01-22,1.85
US_TREASURY_30_YR,2021-01-25,1.8
US_TREASURY_30_YR,2021-01-26,1.8
US_TREASURY_30_YR,2021-01-27,1.79
US_TREASURY_30_YR,2021-01-28,1.81
US_TREASURY_30_YR,2021-01-29,1.87
US_TREASURY_30_YR,2021-02-01,1.84
US_TREASURY_30_YR,2021-02-02,1.87
US_TREASURY_30_YR,2021-02-03,1.92
US_TREASURY_30_YR,2021-02-04,1.93
US_TREASURY_30_YR,2021-02-05,1.97
US_TREASURY_30_YR,2021-02-08,1.96
US_TREASURY_30_YR,2021-02-09,1.95
US_TREASURY_30_YR,2021-02-10,1.92
US_TREASURY_30_YR,2021-02-11,1.94
US_TREASURY_30_YR,2021-02-12,2.01
US_TREASURY_30_YR,2021-02-16,2.08
US_TREASURY_30_YR,2021-02-17,2.06
US_TREASURY_30_YR,2021-02-18,2.08
US_TREASURY_30_YR,2021-02-19,2.14
US_TREASURY_30_YR,2021-02-22,2.19
US_TREASURY_30_YR,2021-02-23,2.21
US_TREASURY_30_YR,2021-02-24,2.24
US_TREASURY_30_YR,2021-02-25,2.33
US_TREASURY_30_YR,2021-02-26,2.17
US_TREASURY_30_YR,2021-03-01,2.23
US_TREASURY_30_YR,2021-03-02,2.21
US_TREASURY_30_YR,2021-03-03,2.25
US_TREASURY_30_YR,2021-03-04,2.3
US_TREASURY_30_YR,2021-03-05,2.28
US_TREASURY_30_YR,2021-03-08,2.31
US_TREASURY_30_YR,2021-03-09,2.26
US_TREASURY_30_YR,2021-03-10,2.24
US_TREASURY_30_YR,2021-03-11,2.29
US_TREASURY_30_YR,2021-03-12,2.4
US_TREASURY_30_YR,2021-03-15,2.37
US_TREASURY_30_YR,2021-03-16,2.38
US_TREASURY_30_YR,2021-03-17,2.42
US_TREASURY_30_YR,2021-03-18,2.45
US_TREASURY_30_YR,2021-03-19,2.45
US_TREASURY_30_YR,2021-03-22,2.38
US_TREASURY_30_YR,2021-03-23,2.34
US_TREASURY_30_YR,2021-03-24,2.31
US_TREASURY_30_YR,2021-03-25,2.34
US_TREASURY_30_YR,2021-03-26,2.37
US_TREASURY_30_YR,2021-03-29,2.43
US_TREASURY_30_YR,2021-03-30,2.38
US_TREASURY_30_YR,2021-03-31,2.41
US_TREASURY_30_YR,2021-04-01,2.34
US_TREASURY_30_YR,2021-04-02,2.35
US_TREASURY_30_YR,2021-04-05,2.36
US_TREASURY_30_YR,2021-04-06,2.32
US_TREASURY_30_YR,2021-04-07,2.35
US_TREASURY_30_YR,2021-04-08,2.32
US_TREASURY_30_YR,2021-04-09,2.34
US_TREASURY_30_YR,2021-04-12,2.34
US_TREASURY_30_YR,2021-04-13,2.32
US_TREASURY_30_YR,2021-04-14,2.32
US_TREASURY_30_YR,2021-04-15,2.23
US_TREASURY_30_YR,2021-04-16,2.26
US_TREASURY_30_YR,2021-04-19,2.29
US_TREASURY_30_YR,2021-04-20,2.27
US_TREASURY_30_YR,2021-04-21,2.26
US_TREASURY_30_YR,2021-04-22,2.24
US_TREASURY_30_YR,2021-04-23,2.25
US_TREASURY_30_YR,2021-04-26,2.24
US_TREASURY_30_YR,2021-04-27,2.29
