InstrumentName,Date,Yield
US_Treasury_10Yr_Constant_Maturity,2021-01-04,0.93
US_Treasury_10Yr_Constant_Maturity,2021-01-05,0.96
US_Treasury_10Yr_Constant_Maturity,2021-01-06,1.04
US_Treasury_10Yr_Constant_Maturity,2021-01-07,1.08
US_Treasury_10Yr_Constant_Maturity,2021-01-08,1.13
US_Treasury_10Yr_Constant_Maturity,2021-01-11,1.15
US_Treasury_10Yr_Constant_Maturity,2021-01-12,1.15
US_Treasury_10Yr_Constant_Maturity,2021-01-13,1.10
US_Treasury_10Yr_Constant_Maturity,2021-01-14,1.15
US_Treasury_10Yr_Constant_Maturity,2021-01-15,1.11
US_Treasury_10Yr_Constant_Maturity,2021-01-19,1.10
US_Treasury_10Yr_Constant_Maturity,2021-01-20,1.10
US_Treasury_10Yr_Constant_Maturity,2021-01-21,1.12
US_Treasury_10Yr_Constant_Maturity,2021-01-22,1.10
US_Treasury_10Yr_Constant_Maturity,2021-01-25,1.05
US_Treasury_10Yr_Constant_Maturity,2021-01-26,1.05
US_Treasury_10Yr_Constant_Maturity,2021-01-27,1.04
US_Treasury_10Yr_Constant_Maturity,2021-01-28,1.07
US_Treasury_10Yr_Constant_Maturity,2021-01-29,1.11
US_Treasury_10Yr_Constant_Maturity,2021-02-01,1.09
US_Treasury_10Yr_Constant_Maturity,2021-02-02,1.12
US_Treasury_10Yr_Constant_Maturity,2021-02-03,1.15
US_Treasury_10Yr_Constant_Maturity,2021-02-04,1.15
US_Treasury_10Yr_Constant_Maturity,2021-02-05,1.19
US_Treasury_10Yr_Constant_Maturity,2021-02-08,1.19
US_Treasury_10Yr_Constant_Maturity,2021-02-09,1.18
US_Treasury_10Yr_Constant_Maturity,2021-02-10,1.15
US_Treasury_10Yr_Constant_Maturity,2021-02-11,1.16
US_Treasury_10Yr_Constant_Maturity,2021-02-12,1.20
US_Treasury_10Yr_Constant_Maturity,2021-02-16,1.30
US_Treasury_10Yr_Constant_Maturity,2021-02-17,1.29
US_Treasury_10Yr_Constant_Maturity,2021-02-18,1.29
US_Treasury_10Yr_Constant_Maturity,2021-02-19,1.34
US_Treasury_10Yr_Constant_Maturity,2021-02-22,1.37
US_Treasury_10Yr_Constant_Maturity,2021-02-23,1.37
US_Treasury_10Yr_Constant_Maturity,2021-02-24,1.38
US_Treasury_10Yr_Constant_Maturity,2021-02-25,1.54
US_Treasury_10Yr_Constant_Maturity,2021-02-26,1.44
US_Treasury_10Yr_Constant_Maturity,2021-03-01,1.45
US_Treasury_10Yr_Constant_Maturity,2021-03-02,1.42
US_Treasury_10Yr_Constant_Maturity,2021-03-03,1.47
US_Treasury_10Yr_Constant_Maturity,2021-03-04,1.54
US_Treasury_10Yr_Constant_Maturity,2021-03-05,1.56
US_Treasury_10Yr_Constant_Maturity,2021-03-08,1.59
US_Treasury_10Yr_Constant_Maturity,2021-03-09,1.55
US_Treasury_10Yr_Constant_Maturity,2021-03-10,1.53
US_Treasury_10Yr_Constant_Maturity,2021-03-11,1.54
US_Treasury_10Yr_Constant_Maturity,2021-03-12,1.64
US_Treasury_10Yr_Constant_Maturity,2021-03-15,1.62
US_Treasury_10Yr_Constant_Maturity,2021-03-16,1.62
US_Treasury_10Yr_Constant_Maturity,2021-03-17,1.63
US_Treasury_10Yr_Constant_Maturity,2021-03-18,1.71
US_Treasury_10Yr_Constant_Maturity,2021-03-19,1.74
US_Treasury_10Yr_Constant_Maturity,2021-03-22,1.69
US_Treasury_10Yr_Constant_Maturity,2021-03-23,1.63
US_Treasury_10Yr_Constant_Maturity,2021-03-24,1.62
US_Treasury_10Yr_Constant_Maturity,2021-03-25,1.63
US_Treasury_10Yr_Constant_Maturity,2021-03-26,1.67
US_Treasury_10Yr_Constant_Maturity,2021-03-29,1.73
US_Treasury_10Yr_Constant_Maturity,2021-03-30,1.73
US_Treasury_10Yr_Constant_Maturity,2021-03-31,1.74
